type,X1,X216,X269,X709,X1001,X1997,X2509,X2711,X2906,X3270,X3430,X4829,X4994,X5347,X5523,X6421,X6513,X6794,X7126,X7157,X7342,X7365,X8699,X8987,X9022,X9560,X9688,X10131,X10437,X11029,X11327,X11925,X13095,X13353,X14289,X14348,X15455,X16156,X16274,X16331,X16349,X16885,X17282,X17316,X17445,X17752,X17794,X18063,X18158,X19664,X20462,X21200,X21487,X22251,X23239,X23932,X24014,X25205,X25206,X25804,X25867,X25933,X26039,X26287,X26615,X26747,X27015,X27121,X27250,X28252,X28544,X28688,X29617,X30321,X30663,X31416,X31695,X31704,X33031,X33110,X33614,X33759,X34236,X34482,X34594,X34988,X36051,X36093,X36210,X36527,X36750,X36904,X37119,X37161,X37279,X37614,X38229,X38382,X38733,X39011,X39033,X39743,X40316,X40395,X41885,X42555,X43479,X44844,X46640,X46946,X47591,X48368,X48462,X48605,X49178,X50448,X50551,X51155,X51280,X52384,X52897,X53495,X53596,X54604,X55033,X55191,X55249,X55561,X56359,X56693,X56717,X57156,X57157,X57170,X57194,X57754,X57771,X57961,X58394,X58599,X58699,X58936,X59011,X59393,X59504,X59505,X59832,X59964,X61629,X61641
1,0,0,10,0,0,0,35,10,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,20,0,0,0,0,11,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0,11,0,0,12,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,12,0,0,0,20,0,0,0,0,0
0,0,33,0,0,0,0,19,0,0,0,12,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,11,14,0,12,0,0,0,14,0,0,0,0,0,0,0,0,10,0,0,12,0,0,0,0,0,0,16,0,0,0,0,0,0,0,20,0,13,15,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,16,0,0,21,0,0,0,11,0,0,20,0,0,0,0,0,0,29,15,0,0,10,0,0,0,19,0,0,0,0,0,0,0,0,0,0,10,0,0,0,14,13,0,0,0,11,0,0,0,0,0,0
1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,11,0,0,0,0,19,0,0,0,0,0,0,13,0,0,0,0,0,21,0,0,0,0,0,0,18,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,20,0,0,60,0,14,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
0,0,0,17,0,0,0,0,17,0,0,12,49,0,0,10,0,19,0,0,0,0,0,0,0,0,0,0,14,0,28,0,0,13,72,17,0,50,76,24,24,0,12,0,17,17,25,10,173,0,0,0,0,25,36,15,0,0,0,0,14,18,13,18,14,0,0,24,0,0,0,18,10,0,0,0,13,0,179,0,20,25,0,0,0,0,0,0,0,0,14,0,49,0,15,24,0,14,0,49,0,0,0,0,0,12,13,0,0,0,0,0,0,19,0,0,111,11,0,0,22,0,19,0,51,0,0,177,0,12,10,0,0,0,0,13,12,0,0,26,14,0,17,21,0,0,0,46,15,0,10
2,0,0,27,0,0,0,0,26,16,0,11,0,20,0,13,0,0,0,0,0,0,0,20,0,0,0,0,21,0,0,0,20,25,0,22,0,0,0,0,18,0,0,20,0,24,0,27,31,14,0,0,17,0,49,0,0,0,0,0,11,0,0,0,28,13,41,0,14,0,0,0,25,0,17,0,15,0,50,0,18,0,14,0,0,0,0,0,0,0,24,0,0,22,23,0,0,0,19,0,0,0,0,0,13,25,19,22,0,0,0,0,0,11,0,0,0,27,0,0,14,0,16,0,0,0,0,31,0,15,20,0,0,0,0,0,40,0,0,0,20,21,24,0,0,0,0,0,24,0,13
0,0,0,0,0,12,18,0,0,0,0,21,0,17,12,0,18,0,39,20,0,24,12,57,0,0,0,0,11,0,15,0,13,0,0,13,0,0,43,0,11,0,0,34,42,0,41,0,18,0,0,0,0,13,14,12,0,31,0,0,0,0,0,0,0,15,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,38,0,17,36,0,0,0,0,19,0,13,13,0,0,26,0,14,0,25,0,15,0,0,0,0,0,0,0,0,0,21,0,0,0,0,60,0,0,0,0,30,17,0,71,11,25,19,0,12,11,0,0,63,0,0,0,0,14,12,11,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,16,0,13,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,11,0,15,0,0,0,41,0,0,12,12,0,22,27,0,0,12,11,0,0,0,20,0,0,30,13,0,0,50,0,0,0,11,0,13,0,23,0,0,0,0,13,0,24,0,0,11,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,42,0,0,12,0,29,51,0,0,0,0,0,0,0,12,14,0,0,0,0,0,15,25,0,0,10,0,0,0,0,39,16,0,0,0,0,0,0,0,15,0,0,0,0,0,12,11,0,0,11,17,11,0,0,0,0,11,12,0,0
2,0,0,12,0,22,0,0,12,0,0,0,51,19,0,0,0,0,68,0,0,0,0,0,0,0,0,0,14,0,0,0,21,10,0,18,0,51,0,96,34,0,0,0,14,18,0,14,0,32,0,0,12,0,0,18,31,104,0,0,0,11,11,0,0,0,0,11,0,10,0,25,14,0,19,0,0,126,0,0,16,0,31,0,96,0,0,0,46,0,10,0,0,10,0,0,0,10,0,0,0,14,0,0,14,16,11,0,10,0,0,0,0,22,0,0,18,14,0,0,0,0,18,0,0,0,81,0,0,17,33,0,0,0,0,0,0,0,0,0,14,0,18,27,0,0,0,0,0,0,0
0,0,0,0,21,17,0,22,0,0,34,18,26,0,13,11,0,0,13,0,24,0,0,0,0,11,0,0,0,0,11,0,0,16,0,14,0,26,0,0,18,0,0,15,10,0,0,11,0,13,10,0,0,20,0,23,0,13,0,0,0,20,0,0,12,21,12,0,0,0,0,20,12,11,12,0,13,0,0,0,13,29,13,0,0,0,0,0,0,0,16,21,0,0,12,14,0,19,0,12,0,0,0,0,12,16,14,0,0,0,0,0,0,0,10,0,13,11,0,0,14,0,11,0,0,12,0,0,11,15,18,0,0,44,0,0,13,0,0,16,10,10,0,0,0,10,0,0,12,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,13,0,0,15,0,0,0,0,0,0,0,0,0,0,0,12,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,19,0,0,0,0,0,0,0,0,16,0,17,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
